transaction_id,date,month,quarter,year,type,sub_type,product,plan,customer_id,sales_rep,region,department,amount,currency,payment_terms,payment_status,churn_risk,discount_pct,contract_length_months,notes
REV-000019,2022-08-26,2022-08,Q3 2022,2022,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00886,REP-026,North America,Sales,4481.73,USD,Net 30,Overdue,Low,15.7,24,TraxCore (ERP) Professional — Subscription
REV-000020,2023-03-14,2023-03,Q1 2023,2023,Revenue,Professional Services,TraxCRM,Professional,CUST-00803,REP-036,LATAM,Sales,4393.17,USD,Upfront Annual,Paid,Low,14.7,1,TraxCRM Professional — Professional Services
REV-000021,2023-07-08,2023-07,Q3 2023,2023,Revenue,Subscription,TraxCore (ERP),Starter,CUST-00942,REP-034,Europe,Sales,925.14,USD,Net 30,Pending,Low,1.4,6,TraxCore (ERP) Starter — Subscription
REV-000022,2024-07-11,2024-07,Q3 2024,2024,Revenue,Professional Services,TraxCore (ERP),Enterprise,CUST-00593,REP-039,North America,Sales,54117.94,USD,Monthly,Paid,Low,6.3,12,TraxCore (ERP) Enterprise — Professional Services
REV-000023,2022-04-16,2022-04,Q2 2022,2022,Revenue,Subscription,TraxAnalytics,Professional,CUST-00406,REP-009,APAC,Sales,7115.02,USD,Net 30,Paid,Low,11.3,1,TraxAnalytics Professional — Subscription
REV-000024,2020-10-27,2020-10,Q4 2020,2020,Revenue,Subscription,TraxAnalytics,Starter,CUST-00956,REP-023,North America,Sales,2734.39,USD,Upfront Annual,Paid,Low,10.9,12,TraxAnalytics Starter — Subscription
REV-000025,2025-12-06,2025-12,Q4 2025,2025,Revenue,Professional Services,TraxCore (ERP),Professional,CUST-00955,REP-043,North America,Sales,11450.37,USD,Net 60,Paid,Medium,14.8,6,TraxCore (ERP) Professional — Professional Services
REV-000026,2023-01-20,2023-01,Q1 2023,2023,Revenue,Professional Services,TraxCRM,Professional,CUST-00209,REP-044,APAC,Sales,7548.68,USD,Upfront Annual,Pending,Medium,1.8,24,TraxCRM Professional — Professional Services
REV-000027,2023-02-07,2023-02,Q1 2023,2023,Revenue,One-time License,TraxCore (ERP),Starter,CUST-00653,REP-017,Europe,Sales,2430.71,USD,Monthly,Paid,Low,18.9,6,TraxCore (ERP) Starter — One-time License
REV-000028,2020-05-27,2020-05,Q2 2020,2020,Revenue,Subscription,TraxCRM,Professional,CUST-00131,REP-003,APAC,Sales,6281.86,USD,Net 30,Pending,Low,5.0,1,TraxCRM Professional — Subscription
REV-000029,2023-12-19,2023-12,Q4 2023,2023,Revenue,Subscription,TraxAnalytics,Enterprise,CUST-00636,REP-048,Europe,Sales,74951.94,USD,Net 60,Pending,High,16.2,24,TraxAnalytics Enterprise — Subscription
REV-000030,2020-04-11,2020-04,Q2 2020,2020,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00954,REP-027,Europe,Sales,5401.25,USD,Net 30,Paid,Low,9.4,6,TraxCore (ERP) Professional — Subscription
REV-000031,2025-02-28,2025-02,Q1 2025,2025,Revenue,One-time License,TraxCRM,Starter,CUST-00234,REP-015,North America,Sales,2252.07,USD,Monthly,Paid,Medium,19.3,12,TraxCRM Starter — One-time License
REV-000032,2023-12-09,2023-12,Q4 2023,2023,Revenue,Professional Services,TraxAnalytics,Professional,CUST-00864,REP-035,APAC,Sales,11453.13,USD,Net 30,Pending,Low,11.6,12,TraxAnalytics Professional — Professional Services
REV-000033,2020-06-05,2020-06,Q2 2020,2020,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00806,REP-021,LATAM,Sales,8455.88,USD,Net 30,Paid,Low,5.1,24,TraxCore (ERP) Professional — Subscription
REV-000034,2020-01-07,2020-01,Q1 2020,2020,Revenue,Subscription,TraxAnalytics,Enterprise,CUST-00737,REP-048,Europe,Sales,36767.06,USD,Net 30,Overdue,High,12.5,1,TraxAnalytics Enterprise — Subscription
REV-000035,2023-05-15,2023-05,Q2 2023,2023,Revenue,Subscription,TraxAnalytics,Starter,CUST-00413,REP-045,APAC,Sales,2019.71,USD,Net 60,Paid,High,13.5,6,TraxAnalytics Starter — Subscription
REV-000036,2023-05-17,2023-05,Q2 2023,2023,Revenue,Subscription,TraxCRM,Professional,CUST-00294,REP-014,LATAM,Sales,10071.83,USD,Upfront Annual,Paid,Low,4.3,24,TraxCRM Professional — Subscription
REV-000037,2021-11-26,2021-11,Q4 2021,2021,Revenue,Subscription,TraxAnalytics,Starter,CUST-00649,REP-040,APAC,Sales,1005.45,USD,Net 60,Paid,Low,4.0,1,TraxAnalytics Starter — Subscription
REV-000038,2020-07-08,2020-07,Q3 2020,2020,Revenue,Professional Services,TraxCore (ERP),Enterprise,CUST-00787,REP-005,LATAM,Sales,40181.99,USD,Net 60,Paid,Low,8.0,6,TraxCore (ERP) Enterprise — Professional Services
REV-000039,2020-01-23,2020-01,Q1 2020,2020,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00824,REP-045,Middle East,Sales,7180.95,USD,Net 60,Pending,Low,2.7,24,TraxCore (ERP) Professional — Subscription
REV-000040,2025-12-15,2025-12,Q4 2025,2025,Revenue,Renewal,TraxAnalytics,Professional,CUST-00913,REP-029,Middle East,Sales,10335.06,USD,Monthly,Pending,Low,17.9,24,TraxAnalytics Professional — Renewal
REV-000041,2025-01-17,2025-01,Q1 2025,2025,Revenue,One-time License,TraxCRM,Professional,CUST-00284,REP-050,Middle East,Sales,7361.37,USD,Net 60,Paid,Low,5.7,12,TraxCRM Professional — One-time License
REV-000042,2023-10-07,2023-10,Q4 2023,2023,Revenue,Subscription,TraxCRM,Enterprise,CUST-00155,REP-015,LATAM,Sales,59188.59,USD,Net 60,Paid,Low,10.9,24,TraxCRM Enterprise — Subscription
REV-000043,2020-09-12,2020-09,Q3 2020,2020,Revenue,Subscription,TraxCore (ERP),Enterprise,CUST-00789,REP-038,North America,Sales,70257.78,USD,Monthly,Paid,High,6.0,24,TraxCore (ERP) Enterprise — Subscription
REV-000044,2024-09-12,2024-09,Q3 2024,2024,Revenue,Subscription,TraxAnalytics,Professional,CUST-00618,REP-015,LATAM,Sales,4974.79,USD,Monthly,Paid,Low,13.4,24,TraxAnalytics Professional — Subscription
REV-000045,2021-11-07,2021-11,Q4 2021,2021,Revenue,Renewal,TraxCRM,Enterprise,CUST-00547,REP-002,LATAM,Sales,52248.71,USD,Net 30,Paid,Low,17.3,6,TraxCRM Enterprise — Renewal
REV-000046,2020-07-24,2020-07,Q3 2020,2020,Revenue,Subscription,TraxCRM,Starter,CUST-00335,REP-022,LATAM,Sales,1412.16,USD,Monthly,Paid,Low,0.4,36,TraxCRM Starter — Subscription
REV-000047,2020-08-01,2020-08,Q3 2020,2020,Revenue,Subscription,TraxCRM,Starter,CUST-00981,REP-042,North America,Sales,2459.31,USD,Net 60,Paid,Low,3.0,6,TraxCRM Starter — Subscription
REV-000048,2025-04-23,2025-04,Q2 2025,2025,Revenue,Renewal,TraxAnalytics,Starter,CUST-00477,REP-045,APAC,Sales,2487.18,USD,Net 60,Paid,High,14.4,6,TraxAnalytics Starter — Renewal
REV-000049,2023-06-28,2023-06,Q2 2023,2023,Revenue,Renewal,TraxCore (ERP),Professional,CUST-00590,REP-044,LATAM,Sales,6569.89,USD,Net 60,Paid,Medium,12.5,1,TraxCore (ERP) Professional — Renewal
REV-000050,2023-05-20,2023-05,Q2 2023,2023,Revenue,Subscription,TraxAnalytics,Professional,CUST-00580,REP-003,APAC,Sales,7794.71,USD,Upfront Annual,Paid,Low,0.3,24,TraxAnalytics Professional — Subscription
REV-000051,2025-06-30,2025-06,Q2 2025,2025,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00913,REP-030,Europe,Sales,6919.38,USD,Upfront Annual,Paid,High,15.5,24,TraxCore (ERP) Professional — Subscription
REV-000052,2024-11-19,2024-11,Q4 2024,2024,Revenue,Subscription,TraxAnalytics,Professional,CUST-00252,REP-006,APAC,Sales,10934.68,USD,Net 60,Paid,Low,13.4,12,TraxAnalytics Professional — Subscription
REV-000053,2020-04-27,2020-04,Q2 2020,2020,Revenue,Subscription,TraxCRM,Enterprise,CUST-00218,REP-023,APAC,Sales,35143.04,USD,Upfront Annual,Paid,Low,3.8,6,TraxCRM Enterprise — Subscription
REV-000054,2024-07-22,2024-07,Q3 2024,2024,Revenue,Subscription,TraxCRM,Professional,CUST-00488,REP-042,LATAM,Sales,7033.57,USD,Net 30,Paid,Low,13.8,12,TraxCRM Professional — Subscription
REV-000055,2024-02-20,2024-02,Q1 2024,2024,Revenue,Subscription,TraxCRM,Professional,CUST-00764,REP-036,APAC,Sales,6166.29,USD,Monthly,Paid,Low,2.4,6,TraxCRM Professional — Subscription
REV-000056,2023-07-16,2023-07,Q3 2023,2023,Revenue,Renewal,TraxCore (ERP),Professional,CUST-00707,REP-012,Europe,Sales,4947.46,USD,Monthly,Paid,Low,15.2,36,TraxCore (ERP) Professional — Renewal
REV-000057,2023-03-05,2023-03,Q1 2023,2023,Revenue,Subscription,TraxCore (ERP),Enterprise,CUST-00370,REP-012,APAC,Sales,12962.09,USD,Net 60,Paid,High,11.1,6,TraxCore (ERP) Enterprise — Subscription
REV-000058,2025-07-03,2025-07,Q3 2025,2025,Revenue,Professional Services,TraxCore (ERP),Enterprise,CUST-00481,REP-031,LATAM,Sales,35168.0,USD,Net 30,Paid,Medium,2.3,1,TraxCore (ERP) Enterprise — Professional Services
REV-000059,2024-06-29,2024-06,Q2 2024,2024,Revenue,Professional Services,TraxCRM,Starter,CUST-00055,REP-010,Europe,Sales,2584.51,USD,Upfront Annual,Paid,Low,11.2,24,TraxCRM Starter — Professional Services
REV-000060,2022-07-13,2022-07,Q3 2022,2022,Revenue,Training,TraxAnalytics,Starter,CUST-00305,REP-038,LATAM,Sales,1471.84,USD,Net 30,Paid,Medium,19.0,6,TraxAnalytics Starter — Training
REV-000061,2022-05-14,2022-05,Q2 2022,2022,Revenue,Subscription,TraxCRM,Professional,CUST-00178,REP-036,North America,Sales,4408.79,USD,Monthly,Paid,Low,5.8,6,TraxCRM Professional — Subscription
REV-000062,2023-03-26,2023-03,Q1 2023,2023,Revenue,One-time License,TraxAnalytics,Starter,CUST-00073,REP-044,Europe,Sales,2832.6,USD,Net 60,Paid,Low,13.0,12,TraxAnalytics Starter — One-time License
REV-000063,2021-08-05,2021-08,Q3 2021,2021,Revenue,One-time License,TraxCore (ERP),Starter,CUST-00610,REP-048,Middle East,Sales,2826.62,USD,Monthly,Paid,Medium,14.0,12,TraxCore (ERP) Starter — One-time License
REV-000064,2025-08-11,2025-08,Q3 2025,2025,Revenue,Subscription,TraxAnalytics,Professional,CUST-00041,REP-028,APAC,Sales,8433.42,USD,Net 30,Paid,High,16.7,36,TraxAnalytics Professional — Subscription
REV-000065,2020-03-25,2020-03,Q1 2020,2020,Revenue,Professional Services,TraxAnalytics,Enterprise,CUST-00782,REP-049,Europe,Sales,43994.06,USD,Monthly,Pending,Low,11.7,24,TraxAnalytics Enterprise — Professional Services
REV-000066,2021-01-08,2021-01,Q1 2021,2021,Revenue,Subscription,TraxCRM,Starter,CUST-00687,REP-007,Europe,Sales,1525.57,USD,Monthly,Paid,High,16.3,36,TraxCRM Starter — Subscription
REV-000067,2020-05-30,2020-05,Q2 2020,2020,Revenue,Subscription,TraxCRM,Starter,CUST-00119,REP-050,LATAM,Sales,2702.8,USD,Net 30,Paid,Low,8.3,6,TraxCRM Starter — Subscription
REV-000068,2025-10-24,2025-10,Q4 2025,2025,Revenue,Subscription,TraxCRM,Professional,CUST-00453,REP-049,North America,Sales,4832.02,USD,Net 60,Pending,Low,14.0,1,TraxCRM Professional — Subscription
REV-000069,2020-04-28,2020-04,Q2 2020,2020,Revenue,Subscription,TraxAnalytics,Professional,CUST-00163,REP-020,Middle East,Sales,3123.07,USD,Monthly,Paid,High,18.3,24,TraxAnalytics Professional — Subscription
REV-000070,2021-04-26,2021-04,Q2 2021,2021,Revenue,Subscription,TraxAnalytics,Enterprise,CUST-00734,REP-019,Middle East,Sales,59967.99,USD,Monthly,Pending,High,4.9,36,TraxAnalytics Enterprise — Subscription
REV-000071,2021-08-15,2021-08,Q3 2021,2021,Revenue,Professional Services,TraxCRM,Starter,CUST-00765,REP-009,North America,Sales,1407.74,USD,Monthly,Paid,Medium,5.3,1,TraxCRM Starter — Professional Services
REV-000072,2023-03-04,2023-03,Q1 2023,2023,Revenue,Professional Services,TraxAnalytics,Starter,CUST-00676,REP-032,Europe,Sales,1782.4,USD,Monthly,Paid,Low,10.9,24,TraxAnalytics Starter — Professional Services
REV-000073,2023-08-11,2023-08,Q3 2023,2023,Revenue,Subscription,TraxCore (ERP),Enterprise,CUST-00393,REP-015,LATAM,Sales,14968.02,USD,Monthly,Paid,Medium,7.7,6,TraxCore (ERP) Enterprise — Subscription
REV-000074,2025-07-21,2025-07,Q3 2025,2025,Revenue,Renewal,TraxCore (ERP),Starter,CUST-00340,REP-007,LATAM,Sales,1019.37,USD,Monthly,Paid,Low,17.4,6,TraxCore (ERP) Starter — Renewal
REV-000075,2020-11-02,2020-11,Q4 2020,2020,Revenue,Subscription,TraxCRM,Professional,CUST-00639,REP-045,LATAM,Sales,8848.53,USD,Upfront Annual,Pending,Medium,7.6,12,TraxCRM Professional — Subscription
REV-000076,2025-06-21,2025-06,Q2 2025,2025,Revenue,Subscription,TraxAnalytics,Starter,CUST-00647,REP-044,APAC,Sales,2994.34,USD,Net 30,Paid,Low,12.7,1,TraxAnalytics Starter — Subscription
REV-000077,2024-12-22,2024-12,Q4 2024,2024,Revenue,Training,TraxCore (ERP),Professional,CUST-00048,REP-021,North America,Sales,5640.31,USD,Upfront Annual,Paid,Low,8.2,6,TraxCore (ERP) Professional — Training
REV-000078,2021-11-27,2021-11,Q4 2021,2021,Revenue,Training,TraxCore (ERP),Starter,CUST-00635,REP-044,Europe,Sales,1894.87,USD,Net 60,Paid,Low,9.2,1,TraxCore (ERP) Starter — Training
REV-000079,2025-03-20,2025-03,Q1 2025,2025,Revenue,Subscription,TraxCRM,Professional,CUST-00453,REP-023,Middle East,Sales,5692.39,USD,Monthly,Paid,Low,6.0,24,TraxCRM Professional — Subscription
REV-000080,2025-06-02,2025-06,Q2 2025,2025,Revenue,Professional Services,TraxCore (ERP),Starter,CUST-00589,REP-019,APAC,Sales,848.27,USD,Monthly,Paid,Low,13.7,1,TraxCore (ERP) Starter — Professional Services
REV-000081,2025-07-27,2025-07,Q3 2025,2025,Revenue,Subscription,TraxCRM,Professional,CUST-00822,REP-023,Europe,Sales,8729.56,USD,Upfront Annual,Paid,Medium,13.2,6,TraxCRM Professional — Subscription
REV-000082,2021-02-01,2021-02,Q1 2021,2021,Revenue,Subscription,TraxAnalytics,Professional,CUST-00452,REP-003,Middle East,Sales,6283.75,USD,Net 60,Paid,Low,14.9,6,TraxAnalytics Professional — Subscription
REV-000083,2022-04-02,2022-04,Q2 2022,2022,Revenue,Training,TraxCore (ERP),Professional,CUST-00375,REP-034,Middle East,Sales,11221.38,USD,Net 60,Paid,Medium,9.6,12,TraxCore (ERP) Professional — Training
REV-000084,2023-10-19,2023-10,Q4 2023,2023,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00773,REP-015,LATAM,Sales,11705.43,USD,Upfront Annual,Paid,Low,5.3,1,TraxCore (ERP) Professional — Subscription
REV-000085,2025-02-05,2025-02,Q1 2025,2025,Revenue,Professional Services,TraxCRM,Professional,CUST-00599,REP-025,APAC,Sales,3975.11,USD,Net 60,Paid,Low,18.9,12,TraxCRM Professional — Professional Services
REV-000086,2022-06-25,2022-06,Q2 2022,2022,Revenue,One-time License,TraxAnalytics,Starter,CUST-00932,REP-045,APAC,Sales,2228.33,USD,Net 30,Paid,High,6.1,24,TraxAnalytics Starter — One-time License
REV-000087,2021-04-20,2021-04,Q2 2021,2021,Revenue,Subscription,TraxCore (ERP),Starter,CUST-00398,REP-030,APAC,Sales,2275.07,USD,Monthly,Paid,Medium,17.7,1,TraxCore (ERP) Starter — Subscription
REV-000088,2025-06-27,2025-06,Q2 2025,2025,Revenue,Renewal,TraxAnalytics,Professional,CUST-00034,REP-045,APAC,Sales,4955.43,USD,Monthly,Overdue,Medium,2.0,12,TraxAnalytics Professional — Renewal
REV-000089,2024-01-09,2024-01,Q1 2024,2024,Revenue,Subscription,TraxCore (ERP),Starter,CUST-00126,REP-030,North America,Sales,2258.09,USD,Net 30,Paid,Low,19.8,36,TraxCore (ERP) Starter — Subscription
REV-000090,2022-04-20,2022-04,Q2 2022,2022,Revenue,Professional Services,TraxCore (ERP),Enterprise,CUST-00601,REP-014,Europe,Sales,34342.05,USD,Net 60,Pending,Low,5.5,6,TraxCore (ERP) Enterprise — Professional Services
REV-000091,2021-06-16,2021-06,Q2 2021,2021,Revenue,Subscription,TraxAnalytics,Starter,CUST-00677,REP-002,Europe,Sales,832.69,USD,Net 60,Paid,Low,5.3,6,TraxAnalytics Starter — Subscription
REV-000092,2024-09-20,2024-09,Q3 2024,2024,Revenue,Subscription,TraxAnalytics,Starter,CUST-00460,REP-050,APAC,Sales,1929.12,USD,Net 30,Paid,Low,12.3,36,TraxAnalytics Starter — Subscription
REV-000093,2023-05-20,2023-05,Q2 2023,2023,Revenue,Subscription,TraxCRM,Professional,CUST-00491,REP-026,LATAM,Sales,9174.88,USD,Monthly,Paid,Low,18.0,12,TraxCRM Professional — Subscription
REV-000094,2021-08-30,2021-08,Q3 2021,2021,Revenue,Professional Services,TraxCore (ERP),Starter,CUST-00600,REP-036,APAC,Sales,1637.99,USD,Upfront Annual,Paid,Low,2.0,1,TraxCore (ERP) Starter — Professional Services
REV-000095,2022-05-30,2022-05,Q2 2022,2022,Revenue,Subscription,TraxCRM,Professional,CUST-00348,REP-030,LATAM,Sales,6743.91,USD,Net 30,Paid,Low,5.1,6,TraxCRM Professional — Subscription
REV-000096,2025-04-26,2025-04,Q2 2025,2025,Revenue,Subscription,TraxCore (ERP),Starter,CUST-00443,REP-007,APAC,Sales,2585.89,USD,Net 30,Paid,Low,6.6,1,TraxCore (ERP) Starter — Subscription
REV-000097,2024-08-09,2024-08,Q3 2024,2024,Revenue,Renewal,TraxCRM,Enterprise,CUST-00434,REP-047,North America,Sales,77851.11,USD,Upfront Annual,Paid,Low,4.3,24,TraxCRM Enterprise — Renewal
REV-000098,2022-07-07,2022-07,Q3 2022,2022,Revenue,Professional Services,TraxCore (ERP),Starter,CUST-00118,REP-049,APAC,Sales,2063.02,USD,Monthly,Pending,High,16.4,36,TraxCore (ERP) Starter — Professional Services
REV-000099,2020-04-17,2020-04,Q2 2020,2020,Revenue,One-time License,TraxAnalytics,Enterprise,CUST-00274,REP-002,Europe,Sales,30582.39,USD,Upfront Annual,Pending,Low,3.6,6,TraxAnalytics Enterprise — One-time License
REV-000100,2024-06-29,2024-06,Q2 2024,2024,Revenue,Professional Services,TraxCore (ERP),Starter,CUST-00032,REP-006,Middle East,Sales,1273.29,USD,Monthly,Paid,Low,6.2,12,TraxCore (ERP) Starter — Professional Services
REV-000101,2020-12-13,2020-12,Q4 2020,2020,Revenue,One-time License,TraxCore (ERP),Starter,CUST-00051,REP-044,North America,Sales,1398.63,USD,Monthly,Paid,Low,5.5,36,TraxCore (ERP) Starter — One-time License
REV-000102,2021-04-11,2021-04,Q2 2021,2021,Revenue,Subscription,TraxCRM,Professional,CUST-00695,REP-038,LATAM,Sales,7742.41,USD,Upfront Annual,Paid,Low,12.0,1,TraxCRM Professional — Subscription
REV-000103,2022-04-17,2022-04,Q2 2022,2022,Revenue,One-time License,TraxCRM,Enterprise,CUST-00783,REP-017,APAC,Sales,34312.32,USD,Net 30,Paid,Low,2.6,36,TraxCRM Enterprise — One-time License
REV-000104,2022-07-31,2022-07,Q3 2022,2022,Revenue,Professional Services,TraxAnalytics,Professional,CUST-00363,REP-005,LATAM,Sales,10755.88,USD,Net 30,Paid,Low,1.6,12,TraxAnalytics Professional — Professional Services
REV-000105,2024-10-24,2024-10,Q4 2024,2024,Revenue,Professional Services,TraxAnalytics,Professional,CUST-00297,REP-008,LATAM,Sales,3187.71,USD,Upfront Annual,Paid,High,9.2,12,TraxAnalytics Professional — Professional Services
REV-000106,2020-12-26,2020-12,Q4 2020,2020,Revenue,Subscription,TraxCRM,Enterprise,CUST-00604,REP-026,Middle East,Sales,17348.0,USD,Upfront Annual,Paid,Low,15.6,1,TraxCRM Enterprise — Subscription
REV-000107,2025-09-21,2025-09,Q3 2025,2025,Revenue,Subscription,TraxAnalytics,Starter,CUST-00928,REP-050,APAC,Sales,1572.42,USD,Net 60,Paid,Low,3.9,36,TraxAnalytics Starter — Subscription
REV-000108,2021-09-18,2021-09,Q3 2021,2021,Revenue,Renewal,TraxAnalytics,Starter,CUST-00644,REP-032,LATAM,Sales,2459.78,USD,Monthly,Paid,Medium,12.9,36,TraxAnalytics Starter — Renewal
REV-000109,2023-08-16,2023-08,Q3 2023,2023,Revenue,Subscription,TraxAnalytics,Starter,CUST-00481,REP-029,APAC,Sales,2551.93,USD,Net 30,Paid,Low,9.2,1,TraxAnalytics Starter — Subscription
REV-000110,2020-08-21,2020-08,Q3 2020,2020,Revenue,Subscription,TraxCRM,Enterprise,CUST-00885,REP-006,Middle East,Sales,52397.43,USD,Monthly,Paid,Low,15.8,1,TraxCRM Enterprise — Subscription
REV-000111,2025-01-16,2025-01,Q1 2025,2025,Revenue,Subscription,TraxAnalytics,Professional,CUST-00488,REP-033,Europe,Sales,11619.5,USD,Monthly,Paid,Medium,6.9,1,TraxAnalytics Professional — Subscription
REV-000112,2025-08-28,2025-08,Q3 2025,2025,Revenue,Subscription,TraxAnalytics,Starter,CUST-00449,REP-029,Middle East,Sales,1950.05,USD,Net 60,Paid,High,7.7,12,TraxAnalytics Starter — Subscription
REV-000113,2020-08-02,2020-08,Q3 2020,2020,Revenue,Subscription,TraxAnalytics,Professional,CUST-00097,REP-036,LATAM,Sales,5557.32,USD,Net 60,Paid,Low,2.8,12,TraxAnalytics Professional — Subscription
REV-000114,2023-06-24,2023-06,Q2 2023,2023,Revenue,Subscription,TraxAnalytics,Professional,CUST-00610,REP-046,North America,Sales,5786.24,USD,Monthly,Paid,Low,2.6,36,TraxAnalytics Professional — Subscription
REV-000115,2021-01-17,2021-01,Q1 2021,2021,Revenue,Subscription,TraxAnalytics,Professional,CUST-00019,REP-024,APAC,Sales,4622.37,USD,Net 60,Paid,Medium,3.8,6,TraxAnalytics Professional — Subscription
REV-000116,2021-09-26,2021-09,Q3 2021,2021,Revenue,One-time License,TraxCore (ERP),Starter,CUST-00520,REP-050,Middle East,Sales,2637.26,USD,Net 30,Paid,Medium,12.4,36,TraxCore (ERP) Starter — One-time License
REV-000117,2024-03-23,2024-03,Q1 2024,2024,Revenue,One-time License,TraxCore (ERP),Starter,CUST-00790,REP-040,Europe,Sales,2386.6,USD,Net 30,Paid,Medium,4.8,24,TraxCore (ERP) Starter — One-time License
REV-000118,2023-03-13,2023-03,Q1 2023,2023,Revenue,Subscription,TraxAnalytics,Professional,CUST-00245,REP-020,LATAM,Sales,11135.77,USD,Net 60,Paid,High,19.7,24,TraxAnalytics Professional — Subscription
REV-000119,2023-02-28,2023-02,Q1 2023,2023,Revenue,Subscription,TraxCRM,Professional,CUST-00166,REP-013,Middle East,Sales,4245.59,USD,Upfront Annual,Paid,Low,7.4,1,TraxCRM Professional — Subscription
